row_idx,qid,ground_truth,model_output_norm,correct,p_correct,hardness,weight
0,0,yes,yes,1,0.9997257398848559,0.0002742601151440871,1.0005485202302882
1,1,yes,yes,1,0.9999777813549461,2.2218645053917463e-05,1.0000444372901078
2,2,yes,yes,1,0.9995206544596086,0.0004793455403914182,1.0009586910807828
3,3,no,yes,0,0.9937547483962605,0.0062452516037394545,1.012490503207479
4,4,no,yes,0,0.011978577116778142,0.9880214228832218,2.9760428457664436
5,5,yes,yes,1,0.985833678504163,0.014166321495836964,1.028332642991674
6,6,no,yes,0,1.0650237668811613e-05,0.9999893497623312,2.9999786995246627
7,7,yes,yes,1,0.9928581896840964,0.007141810315903552,1.014283620631807
8,8,no,yes,0,0.22883688930634552,0.7711631106936545,2.542326221387309
9,9,yes,yes,1,0.9974836151510658,0.002516384848934239,1.0050327696978685
10,10,no,yes,0,0.9787041564965474,0.021295843503452594,1.0425916870069052
11,11,yes,yes,1,0.99994139204832,5.860795168000088e-05,1.00011721590336
12,12,no,yes,0,0.26695011843021543,0.7330498815697846,2.466099763139569
13,13,yes,yes,1,0.9622584398749287,0.03774156012507135,1.0754831202501427
14,14,no,no,1,0.0005790185872007107,0.9994209814127993,2.9988419628255985
15,15,yes,yes,1,0.3033745715804186,0.6966254284195814,2.393250856839163
16,16,no,yes,0,0.0019710439522328707,0.9980289560477671,2.996057912095534
17,17,no,no,1,0.4959069074792095,0.5040930925207905,2.008186185041581
18,18,no,yes,0,0.0015199868956118218,0.9984800131043882,2.996960026208776
19,19,no,no,1,0.8376352209905669,0.16236477900943314,1.3247295580188663
20,20,no,yes,0,0.5927690770002266,0.40723092299977337,1.8144618459995467
21,21,no,yes,0,0.48107211791079996,0.5189278820892,2.0378557641784
22,22,yes,yes,1,0.9980345760403623,0.0019654239596377243,1.0039308479192754
23,23,no,yes,0,0.06924353939689917,0.9307564606031008,2.8615129212062014
24,24,no,yes,0,0.02087376149863837,0.9791262385013616,2.9582524770027234
25,25,no,yes,0,0.26986001615024974,0.7301399838497502,2.4602799676995004
26,26,yes,yes,1,0.20574769719569028,0.7942523028043097,2.5885046056086196
27,27,no,yes,0,5.070178260491087e-05,0.9999492982173951,2.9998985964347904
28,28,yes,yes,1,0.9798683706082306,0.02013162939176938,1.0402632587835388
29,29,yes,yes,1,0.9956661027920375,0.0043338972079625115,1.008667794415925
30,30,no,yes,0,4.51008796962354e-06,0.9999954899120304,2.9999909798240605
31,31,yes,yes,1,0.9968188816462064,0.003181118353793644,1.0063622367075873
32,32,yes,yes,1,0.16829169519331943,0.8317083048066806,2.6634166096133614
33,33,yes,yes,1,0.9263757643626214,0.07362423563737863,1.1472484712747573
34,34,no,no,1,0.003817294402922841,0.9961827055970771,2.9923654111941542
35,35,yes,yes,1,0.28931604588332194,0.7106839541166781,2.421367908233356
36,36,no,yes,0,1.7612568937642778e-06,0.9999982387431062,2.9999964774862127
37,37,yes,yes,1,0.9997595194079504,0.0002404805920496189,1.0004809611840992
38,38,no,no,1,0.0006895968106234589,0.9993104031893766,2.998620806378753
39,39,no,yes,0,0.020764865971973644,0.9792351340280263,2.9584702680560526
40,40,no,yes,0,1.0130106726337364e-05,0.9999898698932737,2.9999797397865473
41,41,no,yes,0,0.39264316648085784,0.6073568335191422,2.2147136670382843
42,42,no,yes,0,0.0561202894414791,0.9438797105585209,2.8877594211170416
43,43,yes,yes,1,0.9854362404698592,0.014563759530140774,1.0291275190602815
44,44,yes,yes,1,0.998690813346663,0.0013091866533370133,1.002618373306674
45,45,no,yes,0,0.004100049494466542,0.9958999505055335,2.991799901011067
46,46,yes,yes,1,0.8705425864773899,0.1294574135226101,1.2589148270452202
