row_idx,category,y_qwen,y_internvl,p_qwen,p_internvl,agreement_case
0,descriptive,1,1,0.8742938084437004,0.9456993074628653,both_correct
1,descriptive,1,1,0.832734088635087,0.9425453621232559,both_correct
2,descriptive,1,1,0.7412104930437022,0.8341406128278017,both_correct
3,descriptive,1,1,0.8950746049058409,0.9001928543844364,both_correct
4,descriptive,1,1,0.8968954126584778,0.8867229415348337,both_correct
5,descriptive,1,1,0.8531275742800913,0.860031048766112,both_correct
6,descriptive,1,1,0.9262274274707515,0.9165135575680976,both_correct
7,descriptive,1,1,0.9563933106858922,0.9647895380646021,both_correct
8,descriptive,1,1,0.977295761548543,0.9241039990717054,both_correct
9,descriptive,1,1,0.9282628566361627,0.9421188597182275,both_correct
10,descriptive,1,1,0.9562975777255143,0.9624755286184689,both_correct
11,descriptive,1,1,0.9300622996917024,0.937725719916479,both_correct
12,descriptive,1,1,0.9655710096692942,0.9266472083397389,both_correct
13,descriptive,1,0,0.6778288784736665,0.2463510358241647,qwen_only
14,descriptive,1,1,0.9479122681832113,0.920735595929426,both_correct
15,descriptive,1,1,0.9394571745432652,0.8941872108763707,both_correct
16,descriptive,1,1,0.7859740564045699,0.783276099672034,both_correct
17,descriptive,0,0,0.7832050776979798,0.7582377273425756,both_wrong
18,descriptive,0,1,0.8232407764589429,0.7872265882600176,internvl_only
19,descriptive,1,1,0.9509884641166078,0.9337116237069493,both_correct
20,descriptive,1,1,0.803458638556755,0.8373267488353675,both_correct
21,descriptive,0,1,0.9214083515392172,0.8190936355549016,internvl_only
22,descriptive,1,1,0.90437363063587,0.9493670675832809,both_correct
23,descriptive,1,1,0.8608967142608035,0.49950663774534587,both_correct
24,descriptive,1,1,0.814420675274288,0.6965952199989299,both_correct
25,descriptive,1,1,0.9195017674492952,0.8919202565113554,both_correct
26,descriptive,1,1,0.8727578879682008,0.832918827725804,both_correct
27,descriptive,1,1,0.7702264169365526,0.7807842176238006,both_correct
28,descriptive,1,1,0.9412927891813034,0.7952484786118171,both_correct
29,descriptive,1,1,0.8428699427998592,0.8363585751776462,both_correct
30,descriptive,1,1,0.9719547874625032,0.9268317644277999,both_correct
31,descriptive,1,1,0.9552550384598727,0.9192804917135392,both_correct
32,descriptive,1,1,0.9214083515392172,0.8190936355549016,both_correct
33,descriptive,1,1,0.937767467546815,0.8992920410554617,both_correct
34,descriptive,0,0,0.6318860868285425,0.2184535284377075,both_wrong
35,descriptive,1,1,0.869008067407418,0.8923082470527177,both_correct
36,descriptive,1,1,0.9150291487967975,0.8351621131953427,both_correct
37,descriptive,1,0,0.7739578778044044,0.7264721790231464,qwen_only
38,descriptive,1,1,0.9681781396012684,0.9663439481862084,both_correct
39,descriptive,1,1,0.9196124907387676,0.9347903903421649,both_correct
40,descriptive,1,1,0.8836360876641607,0.8938401118081128,both_correct
41,descriptive,1,1,0.9662782730449226,0.9417481464200342,both_correct
42,descriptive,1,1,0.9214083515392172,0.8190936355549016,both_correct
43,descriptive,0,1,0.9551079696871884,0.9353172070979677,internvl_only
44,descriptive,1,1,0.8805170113737754,0.9538511994789284,both_correct
45,descriptive,1,1,0.907189059672216,0.6746412964867979,both_correct
46,descriptive,0,1,0.7749068663926056,0.912427198096869,internvl_only
47,descriptive,1,1,0.9564656075267064,0.9571526190862771,both_correct
48,descriptive,1,1,0.8278663628957528,0.7943471283574502,both_correct
49,descriptive,1,1,0.917584864367223,0.852712467077521,both_correct
50,descriptive,1,1,0.8858432596084632,0.9370956631489069,both_correct
51,descriptive,0,1,0.8512676819309611,0.7391044191952134,internvl_only
52,descriptive,1,1,0.9178729208159856,0.86321056431659,both_correct
53,descriptive,1,1,0.9747936184734267,0.9801005302717348,both_correct
54,descriptive,1,1,0.8836394753330438,0.9113117890829077,both_correct
